No.,Ticker,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Price,Change,Volume
113,AMBA,2.56B,-,42.64,-,7.25,4.31,12.95,53.49,58.10%,44.15%,-19.40%,9.40%,1.40%,65.15,-0.99%,"688,105"
114,VICR,2.82B,78.15,37.21,3.91,7.71,6.47,13.57,-,208.50%,115.95%,57.90%,20.00%,12.40%,65.49,0.34%,"159,000"
115,MCHP,36.04B,24.09,11.50,2.62,5.00,6.09,95.08,17.13,75.90%,0.81%,44.30%,9.20%,14.90%,65.69,4.01%,"7,236,190"
116,AYX,4.52B,-,648.74,-,7.10,26.62,11.05,-,-624.70%,110.90%,-37.40%,1.00%,44.30%,66.82,0.98%,"770,222"
117,DIOD,3.03B,10.74,9.31,0.72,1.57,2.24,9.82,19.01,165.60%,1.22%,73.30%,15.00%,13.90%,67.01,-0.52%,"216,280"
118,POWI,3.89B,22.05,19.01,7.66,5.43,5.51,11.86,25.30,128.70%,0.14%,26.50%,2.88%,12.50%,67.78,1.21%,"463,402"
119,BKI,10.55B,20.47,23.71,2.02,6.82,4.22,277.55,32.09,-22.70%,10.85%,34.80%,10.15%,7.50%,68.30,0.15%,"1,359,776"
120,PRFT,2.37B,32.55,13.89,1.91,2.79,6.33,61.04,30.80,61.90%,14.90%,20.80%,17.00%,9.30%,68.43,-2.59%,"350,645"
122,ON,29.61B,17.76,13.87,0.92,3.89,5.53,16.53,22.43,306.80%,-3.46%,39.30%,19.21%,11.50%,68.57,2.54%,"5,978,525"
123,DSGX,5.85B,66.25,66.95,2.55,12.70,5.82,27.63,34.16,64.80%,6.10%,26.30%,26.00%,15.80%,69.63,1.99%,"107,365"
124,ALRM,3.45B,87.26,32.90,10.77,4.28,6.20,5.36,86.01,-34.10%,11.47%,36.60%,8.10%,23.50%,69.72,2.30%,"314,398"
125,ONTO,3.45B,18.54,12.28,1.54,3.73,2.27,6.33,23.82,356.50%,8.07%,10.30%,12.00%,29.00%,69.92,-0.96%,"398,637"
126,COUP,5.07B,-,104.87,-,6.44,16.69,6.26,31.95,-95.50%,57.31%,-22.20%,17.80%,40.20%,69.95,-0.43%,"1,843,117"
127,NTAP,15.07B,16.87,11.58,1.68,2.34,23.50,4.38,26.63,26.70%,9.89%,19.00%,10.02%,2.80%,70.26,-1.13%,"1,499,278"
128,BL,4.18B,-,171.50,-,8.82,53.38,4.06,134.72,-139.10%,59.23%,-26.10%,14.90%,27.20%,71.00,0.25%,"288,015"
129,SIMO,2.39B,11.33,8.35,1.62,2.36,3.88,-,996.46,150.70%,11.63%,12.80%,7.00%,10.60%,71.86,-0.03%,"187,651"
130,SONY,89.17B,14.44,10.41,1.24,1.27,1.83,6.86,181.69,-14.40%,12.35%,65.40%,11.60%,5.50%,72.04,0.04%,"512,270"
131,ORCL,189.28B,30.05,12.28,2.49,4.46,-,8.64,120.48,-47.00%,12.20%,1.50%,12.07%,2.30%,72.12,-5.16%,"21,502,418"
132,APH,43.69B,26.08,24.24,2.37,3.66,6.82,32.74,45.24,28.20%,4.13%,14.00%,11.00%,11.60%,73.93,-0.36%,"1,506,275"
133,CRUS,4.04B,12.49,11.74,3.57,2.13,2.60,10.15,19.81,52.50%,14.15%,7.10%,3.50%,3.00%,73.99,0.58%,"288,368"
134,GDDY,11.87B,36.97,26.94,1.23,2.97,-,15.41,14.13,148.20%,25.18%,54.70%,30.00%,15.60%,76.08,1.37%,"955,527"
135,ZEN,9.43B,-,83.19,-,6.21,28.83,8.14,63.93,1.20%,23.92%,-12.30%,34.24%,33.70%,76.70,-0.22%,"1,705,285"
136,AMD,126.23B,32.57,15.83,1.22,5.85,2.27,21.07,37.91,24.70%,11.97%,44.60%,26.80%,30.90%,77.45,0.55%,"71,336,532"
137,ESE,2.02B,28.58,21.45,1.91,2.51,1.97,33.14,43.57,176.40%,16.21%,6.50%,15.00%,4.60%,78.45,-3.59%,"82,366"
138,GIB,16.36B,17.29,15.23,1.98,1.69,3.48,27.33,12.15,28.80%,8.20%,9.60%,8.74%,2.60%,78.59,-0.38%,"79,884"
139,LITE,5.31B,29.55,10.17,2.19,3.10,2.89,2.08,14.44,-47.10%,19.46%,29.00%,13.50%,11.30%,78.85,-0.74%,"514,352"
140,TSM,387.51B,16.72,12.82,0.69,6.37,5.11,8.25,53.13,15.20%,-1.85%,12.30%,24.20%,10.90%,79.66,1.08%,"8,418,439"
142,NSIT,2.87B,11.59,9.03,1.56,0.28,1.80,20.88,-,22.20%,5.68%,20.70%,7.44%,11.50%,82.87,-0.91%,"346,678"
143,TER,13.33B,17.62,16.67,3.19,3.89,5.80,17.05,17.53,29.00%,26.13%,94.40%,5.53%,16.10%,83.64,0.58%,"1,372,875"
144,QRVO,8.88B,11.63,8.30,1.16,1.94,2.10,10.34,11.26,46.50%,26.57%,135.90%,10.00%,8.90%,85.94,-0.32%,"1,565,931"
145,FIVN,5.97B,-,48.50,-,8.53,24.54,11.98,-,-19.50%,27.68%,-28.20%,21.55%,30.30%,86.14,-1.44%,"899,154"
146,ESTC,8.13B,-,407.08,-,8.84,20.75,9.58,-,-48.40%,154.80%,-24.10%,2.80%,57.80%,86.30,3.74%,"1,312,866"
147,FIS,52.04B,63.22,11.01,4.32,3.62,1.14,-,15.01,166.50%,11.81%,-15.80%,14.65%,9.50%,87.06,-2.50%,"6,196,815"
148,EEFT,4.22B,34.44,10.36,2.30,1.32,4.32,2.21,10.38,82.90%,31.36%,-16.40%,15.00%,8.90%,87.34,-1.96%,"521,607"
149,IPGP,4.36B,17.43,16.08,4.05,2.93,1.72,3.53,28.50,74.00%,14.10%,1.30%,4.30%,7.70%,87.59,-1.36%,"450,663"
150,DAVA,4.87B,61.09,0.37,1.83,6.91,10.87,34.82,43.80,99.40%,22.77%,19.20%,33.30%,31.10%,87.97,-2.89%,"161,723"
151,GRMN,16.65B,16.84,16.00,3.01,3.33,2.91,10.32,-,8.40%,12.06%,15.40%,5.60%,10.30%,88.35,-0.51%,"920,784"
152,AKAM,13.99B,25.42,15.62,2.38,3.92,3.34,20.26,12.95,16.60%,8.92%,16.60%,10.66%,8.10%,89.39,-0.30%,"1,832,492"
153,AMAT,78.15B,12.13,11.29,0.98,3.11,6.49,22.03,19.28,63.40%,4.30%,33.00%,12.39%,16.30%,90.64,0.28%,"5,798,357"
154,PI,2.31B,-,118.23,-,10.94,-,14.12,-,6.80%,45.45%,-40.30%,10.00%,11.10%,90.80,1.79%,"329,344"
155,PLXS,2.52B,21.55,16.37,2.65,0.71,2.40,9.11,-,22.40%,26.07%,16.30%,8.13%,5.70%,91.58,0.57%,"114,470"
156,SNX,8.65B,15.41,7.21,3.08,0.17,1.10,16.59,207.97,-2.80%,10.37%,1.20%,5.00%,17.60%,91.94,-0.78%,"287,216"
157,LDOS,12.62B,18.09,13.13,2.74,0.90,3.18,37.22,20.99,20.70%,11.25%,17.50%,6.60%,14.30%,92.94,0.20%,"727,522"
158,SAIC,5.11B,20.56,12.53,4.03,0.68,3.18,51.63,13.42,33.90%,5.97%,8.90%,5.10%,10.70%,94.00,0.32%,"568,944"
159,ENTG,14.24B,28.19,19.53,1.68,5.57,6.76,56.29,194.01,38.40%,14.96%,34.40%,16.79%,14.40%,95.15,-0.25%,"981,714"
160,MANT,3.93B,32.23,25.45,5.99,1.50,2.30,83.98,50.52,12.70%,6.92%,17.90%,5.38%,9.80%,95.98,0.00%,0
162,DDOG,29.57B,5390.56,88.29,113.89,21.65,25.14,17.36,77.35,17.90%,41.08%,-,47.33%,-,97.03,0.41%,"3,519,114"
163,APPF,3.43B,-,-,-,8.27,13.00,29.03,194.63,-99.40%,44.00%,16.20%,25.00%,27.80%,98.66,0.92%,"81,601"
164,ARW,6.30B,4.93,5.48,1.41,0.17,1.23,27.92,-,103.60%,-17.78%,21.60%,3.50%,8.00%,99.12,-1.57%,"818,713"
165,SWKS,15.89B,12.71,8.62,1.32,2.95,3.04,24.11,26.07,87.00%,4.33%,11.60%,9.65%,9.20%,100.01,2.18%,"1,880,601"
166,DUOL,3.97B,-,-,-,12.97,7.58,6.72,118.93,-483.80%,14.80%,-,0.80%,-,102.01,3.30%,"409,280"
167,FN,3.66B,19.18,12.79,2.14,1.62,3.01,7.66,105.82,35.70%,14.34%,15.90%,8.96%,9.80%,102.79,1.77%,"262,494"
168,CTXS,13.15B,39.91,17.74,18.14,3.97,15.94,15.07,22.03,-39.10%,5.18%,-4.00%,2.20%,3.30%,103.64,0.11%,"1,352,050"
169,OLED,4.87B,26.97,22.13,1.28,8.44,4.22,7.45,38.38,37.90%,14.29%,30.20%,21.07%,22.70%,103.74,3.97%,"653,020"
170,FISV,66.12B,34.42,14.24,2.24,3.89,2.20,21.64,27.08,41.70%,14.64%,-0.90%,15.33%,24.10%,105.90,-0.02%,"3,756,174"
171,SYNA,4.48B,17.20,8.19,1.15,2.57,3.40,5.11,10.37,204.40%,5.50%,35.80%,15.00%,0.20%,108.84,-1.11%,"718,349"
172,VMW,48.89B,31.22,15.97,4.54,3.72,351.88,15.08,15.37,-11.40%,12.14%,223.40%,6.87%,90.50%,116.12,0.88%,"1,646,647"
173,PTC,13.66B,27.82,22.60,2.23,7.17,6.36,-,32.59,258.40%,15.64%,60.00%,12.50%,9.60%,117.15,-0.01%,"722,628"
174,CHKP,15.23B,19.93,15.09,2.79,6.78,5.01,9.11,14.10,2.00%,9.95%,7.80%,7.15%,4.50%,119.88,-1.33%,"720,229"
175,SPSC,4.42B,95.14,49.02,6.34,10.65,8.88,17.06,58.18,-4.00%,15.62%,53.00%,15.00%,14.80%,122.25,1.43%,"175,093"
