No.,Ticker,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Price,Change,Volume
216,CACI,6.47B,17.85,13.73,7.44,1.04,2.12,56.33,9.64,-15.40%,10.40%,18.90%,2.40%,7.30%,276.59,0.29%,"74,246"
217,ACN,173.37B,27.02,23.22,2.21,2.91,8.24,25.85,34.60,16.00%,12.20%,7.30%,12.25%,7.70%,278.53,-1.06%,"2,397,577"
218,ZBRA,15.13B,32.18,14.46,3.22,2.61,6.14,154.39,24.44,66.10%,11.71%,51.00%,10.00%,9.50%,295.97,0.84%,"395,710"
219,IT,23.50B,34.09,32.33,4.94,4.61,-,65.18,21.57,210.80%,2.00%,31.90%,6.90%,14.10%,302.08,-0.21%,"810,097"
220,HUBS,14.64B,-,104.95,-,9.59,16.75,11.75,65.15,12.60%,27.74%,-5.10%,32.40%,36.90%,305.41,-0.08%,"389,440"
222,ENPH,42.98B,226.11,64.34,7.01,24.76,95.99,34.44,92.10,7.80%,21.95%,22.50%,32.23%,33.80%,320.62,4.95%,"4,202,507"
223,SEDG,17.77B,125.86,35.45,4.41,7.22,8.83,19.84,-,15.20%,64.67%,39.50%,28.52%,52.30%,322.70,3.04%,"779,355"
224,SNPS,49.54B,49.09,32.36,3.03,10.01,8.83,32.35,31.23,12.80%,13.08%,22.80%,16.20%,11.70%,323.37,-0.07%,"1,366,512"
225,KLAC,49.32B,15.82,14.78,1.40,5.35,36.68,18.21,20.84,63.90%,-3.75%,30.10%,11.34%,21.50%,346.61,1.74%,"1,745,998"
226,PAYC,21.53B,92.73,50.77,3.55,17.77,21.23,77.17,99.58,36.80%,24.56%,23.20%,26.12%,26.20%,364.04,0.74%,"280,995"
227,TYL,15.26B,87.27,45.43,8.73,8.39,6.22,53.05,36.49,-18.50%,8.71%,5.50%,10.00%,15.90%,368.54,1.09%,"176,947"
228,ADBE,173.18B,36.28,23.48,2.55,10.37,12.54,32.68,25.25,-7.60%,17.04%,34.00%,14.23%,21.90%,371.52,0.85%,"2,966,754"
229,TDY,17.71B,26.71,19.73,1.15,3.30,2.26,63.52,48.71,-5.20%,9.34%,13.30%,23.27%,16.50%,380.21,1.40%,"227,038"
230,LRCX,58.22B,12.88,11.81,1.68,3.38,9.27,15.92,33.49,21.80%,-5.83%,28.80%,7.66%,16.50%,421.76,0.30%,"1,034,265"
231,EPAM,24.00B,68.54,33.39,3.44,5.38,9.26,17.73,60.44,45.70%,28.32%,34.30%,19.95%,26.50%,424.42,0.72%,"227,915"
232,MPWR,20.12B,61.67,30.27,2.47,13.42,14.09,24.78,78.87,44.50%,12.87%,32.10%,25.00%,25.50%,429.71,1.75%,"497,054"
233,INTU,121.69B,60.29,27.32,3.53,9.56,7.52,37.09,41.14,-3.70%,15.98%,14.00%,17.07%,19.60%,436.84,1.75%,"1,438,281"
234,NOW,91.20B,504.96,49.48,19.03,13.82,21.92,23.79,45.10,93.40%,26.61%,19.60%,26.54%,33.50%,457.49,1.13%,"1,023,644"
235,FICO,11.49B,33.97,24.82,1.94,8.43,-,74.07,25.56,69.70%,10.77%,31.70%,17.50%,8.40%,463.98,2.12%,"312,490"
236,ASML,191.51B,34.24,23.12,1.15,9.94,24.80,43.34,22.41,69.10%,33.26%,31.50%,29.80%,22.00%,478.10,1.49%,"657,359"
237,AVGO,204.25B,22.25,12.61,1.46,6.45,9.91,20.47,24.05,137.10%,8.24%,40.00%,15.20%,15.70%,510.75,1.41%,"2,058,038"
